Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Neuroscience,80-84,"6,980.7","29,495.7","ENG4U, SBI4U, SCH4U, MHF4U
And two additional 4U or M courses",No,N/A,N/A
Nursing: Collaborative,75-79,"6,980.7","29,495.7","ENG4U, 4U math, SBI4U, SCH4U or SPH4U
And two additional 4U or M courses
No prerequisite below 70%",No,N/A,N/A
Philosophy,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Physics and Asotronomy,75-84,"6,980.7","29,495.7","ENG4U, SPH4U, MHF4U, MCV4U
And two additional 4U or M courses:
SCH4U (recommendation)",No,N/A,N/A
Political Science,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Portuguese & Luso-Brazilian Studies,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Professional Writing,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Psychology (BA),75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Psychology (BSc),75-79,"6,980.7","29,495.7","ENG4U, 4U math, SCH4U or SPH4U And three additional 4U or M courses",No,N/A,N/A
Public Administration,75,"6,980.7","29,495.7","ENG4U, 4U math
And four additional 4U or M courses",No,N/A,N/A
Religious Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Sexuality Studies,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Social Work,85,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Sociology,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Spanish,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Statistics (BA),75-84,"6,980.7","29,495.7","ENG4U, MHF4U
And four additional 4U or M courses:
MCV4U (recommendation)",No,N/A,N/A
Statistics (BSc),75-84,"6,980.7","29,495.7","ENG4U, MHF4U
SBI4U or SCH4U or SPH4U
And three additional 4U or M courses:
MCV4U (recommendation)",No,N/A,N/A
Theatre,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,Required
Translation,75-79,"6,980.7","29,495.7","4U English (ENG4U, EAE4U or equivalent)
4U French (FRA4U, FIF4U, FEF4U or equivalent)
And four additional 4U or M courses",No,N/A,N/A
Undecided Major (BSc),80-84,"6,980.7","29,495.7","ENG4U
MHF4U
SBI4U or SCH4U or SPH4U
And three additional 4U or M courses",No,N/A,N/A
Undecided Major (BA),75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Urban Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Urban Sustainability,75-79,"6,980.7","29,495.7","ENG4U
Grade 12, 4U Mathematics is recommended
And five additional 4U or M courses",No,N/A,N/A
Visual Arts,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,Required
Work and Labour Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,Required
